Sample_ID,AE Fraction,SE Fraction,Fe 56,P 31,Co 59,Zn 66,Ni 60,Cu 63,Al 27,Ti 48,V 51,Cr 52,Mn 55,Fe 57,As 75,Mo 95
190125_3_31,100,31,0.395,0.699,0.028,1.205,2.893,0.149,0.293,0.299,0.438,0.62,0.283,0.439,0.015,0.111
190125_3_32,100,32,0.394,0.822,0.027,0.322,2.835,0.031,0.328,0.284,0.418,0.617,0.28,0.424,0.011,0.129
190125_3_33,100,33,0.33,1.046,0.027,-0.803,2.854,-0.034,0.206,0.273,0.415,0.617,0.276,0.315,0.019,0.107
190125_3_34,100,34,0.288,1.147,0.028,-0.974,2.816,-0.05,0.241,0.28,0.451,0.593,0.271,0.346,0.011,0.109
190125_3_35,100,35,0.27,0.923,0.03,1.414,2.814,-0.102,0.223,0.286,0.421,0.6,0.262,0.299,0.003,0.108
190125_3_36,100,36,0.243,1.001,0.027,-0.865,2.828,-0.163,0.275,0.319,0.434,0.603,0.283,0.346,0.027,0.111
190125_3_37,100,37,0.262,0.878,0.027,1.98,2.808,-0.196,0.275,0.299,0.401,0.61,0.272,0.283,0.027,0.151
190125_3_38,100,38,0.275,1.001,0.025,1.613,2.733,-0.232,0.188,0.28,0.443,0.613,0.28,0.268,0.003,0.113
190125_4_7,200,7,1.092,9.274,0.022,-0.142,5.354,0.024,2.9,0.911,0.684,1.055,0.327,0.71,-0.141,0.033
190125_4_8,200,8,0.87,10.453,0.03,0.216,6.374,0.049,0.893,0.498,0.924,1.286,0.405,0.792,-0.13,0.039
190125_4_9,200,9,0.826,9.991,0.031,5.944,6.277,0.05,0.824,0.471,0.877,1.244,0.409,0.745,-0.135,0.072
190125_4_10,200,10,0.878,8.094,0.027,1.02,6.141,0.132,0.838,0.437,0.798,1.19,0.398,0.821,-0.143,0.029
190125_4_11,200,11,0.921,12.556,0.028,0.606,6.109,0.138,0.584,0.286,0.718,1.126,0.495,0.891,-0.141,0.036
190125_4_12,200,12,2.394,110.094,0.031,0.328,6.786,0.62,0.824,0.294,0.694,1.247,1.197,2.431,-0.146,0.078
190125_4_13,200,13,4.93,47.325,0.029,-0.395,6.603,0.05,0.749,0.328,0.692,1.233,0.75,4.949,-0.145,0.05
190125_4_14,200,14,1.217,15.684,0.026,-0.522,6.267,0.033,0.817,0.317,0.68,1.149,0.535,1.189,-0.141,0.041
190125_4_15,200,15,1.02,11.171,0.026,0.896,6.192,0.026,0.749,0.356,0.698,1.178,0.582,1.06,-0.145,0.051
190125_4_16,200,16,0.948,11.684,0.025,1.79,6.092,0.025,0.749,0.352,0.666,1.152,0.58,0.967,-0.138,0.046
190125_4_17,200,17,1.108,12.453,0.021,0.537,6.052,0.072,0.715,0.311,0.625,1.114,0.556,1.037,-0.145,0.291
190125_4_18,200,18,2.815,9.479,0.022,1.042,6.199,2.341,0.776,0.332,0.618,1.114,0.519,2.757,-0.145,0.317
